Province,ECD_Name,Clasification,Service Type,newOrRenewal,Registration Type,Partial Care Registration (PCR) Status,PCR Level,PCR Certificate Number,PCR issueDate,PCR expiryDate,Prog Registration Status,Prog Registration Level,Prog Registration issueDate,Prog Registration expiryDate,Prog Certificate Number,Land Owner,Building Owner,District Name,Fee Level,No. Children Enrolled,Equitable Share Subsidy,Children Subsidised Equitable Share,Conditional Grant Subsidy,Children Subsided Conditional Grant
Southern Cape,ECD 125,Centre based,ECD centre,New,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 1,1,17,No,,No,
Southern Cape,ECD 126,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 3,4,11,No,,No,
Southern Cape,ECD 127,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 03/11,2021/06/10,2024/06/30,Conditionally registered,SILVER,2021/06/10,2024/06/30,,The ECD Programme,The ECD Programme,Disitrct 5,1,36,No,,Yes,47
Southern Cape,ECD 128,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 5,1,32,No,,No,
Southern Cape,ECD 129,Centre based,ECD centre,New,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,Other,Other,Disitrct 1,1,15,No,,No,
Southern Cape,ECD 130,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,,,Disitrct 5,1,,No,,No,
Southern Cape,ECD 131,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,4,31,No,,No,
Southern Cape,ECD 132,Centre based,ECD centre,,,Not registered,,,,,Fully registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,2,28,No,,No,
Southern Cape,ECD 133,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,1,20,No,,No,
Southern Cape,ECD 134,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC23/09,2022/03/30,2027/03/31,Conditionally registered,SILVER,2022/03/30,2027/03/31,,Not-for profit organisation,Not-for profit organisation,Disitrct 5,1,28,Yes,28,Yes,28
Southern Cape,ECD 135,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,1,8,No,,No,
Southern Cape,ECD 136,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 4,4,20,No,,No,
Southern Cape,ECD 137,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,19,No,,No,
Southern Cape,ECD 138,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,,Dc 11/00,,,Lapsed registration,,,,,Community Centre,Community Centre,Disitrct 5,1,49,No,,No,
Southern Cape,ECD 139,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,2,52,No,,No,
Southern Cape,ECD 140,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC08/22,2022/03/28,2025/03/31,Conditionally registered,SILVER,2022/03/28,2025/03/31,,Community Centre,Community Centre,Disitrct 3,5,125,No,,No,
Southern Cape,ECD 141,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 5,3,6,No,,No,
Southern Cape,ECD 142,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,1,9,No,,No,
Southern Cape,ECD 143,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,3,29,No,,No,
Southern Cape,ECD 144,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,3,4,No,,No,
Southern Cape,ECD 145,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC01/07,2022/03/28,2023/03/31,Conditionally registered,BRONZE,2022/03/28,2023/03/31,,Municipality,Not-for profit organisation,Disitrct 1,1,105,Yes,115,Yes,115
Southern Cape,ECD 146,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,5,47,No,,No,
Southern Cape,ECD 147,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,3,10,No,,No,
Southern Cape,ECD 148,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 3,3,49,No,,No,
Southern Cape,ECD 149,,,,,Not registered,,,,,Not registered,,,,,,,Disitrct 5,1,,No,,No,
Southern Cape,ECD 150,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,SILVER,DC 24/97,2019/11/26,2022/11/30,Lapsed registration,SILVER,2019/11/26,2022/11/30,,Not-for profit organisation,Not-for profit organisation,Disitrct 5,1,34,Yes,,Yes,32
Southern Cape,ECD 151,,,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 26/00,2021/05/17,2024/05/31,Conditionally registered,SILVER,2021/05/17,2024/05/31,,,,Disitrct 5,1,,Yes,21,Yes,21
Southern Cape,ECD 152,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 5,2,16,No,,No,
Southern Cape,ECD 153,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 24/01,2021/05/17,2024/05/31,Conditionally registered,SILVER,2021/05/17,2024/05/31,,Community Centre,Community Centre,Disitrct 5,1,26,No,,Yes,22
Southern Cape,ECD 154,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,,,Disitrct 5,1,,No,,No,
Southern Cape,ECD 155,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,2,20,No,,No,
Southern Cape,ECD 156,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Other,Other,Disitrct 3,5,230,No,,No,
Southern Cape,ECD 157,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,37,No,,No,
Southern Cape,ECD 158,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 5,2,35,No,,No,
Southern Cape,ECD 159,,,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,Dc22/06,2021/06/15,2021/06/15,Conditionally registered,BRONZE,2021/06/15,2021/06/15,,,,Disitrct 4,1,,No,,Yes,63
Southern Cape,ECD 160,Centre based,ECD centre,,,Lapsed registration,,,,,Lapsed registration,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,30,No,,No,
Southern Cape,ECD 161,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC01/14,2019/11/07,2024/11/30,Fully registered,GOLD,2019/11/07,2024/11/30,,Municipality,Municipality,Disitrct 4,1,56,No,,Yes,72
Southern Cape,ECD 162,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,School,School,Disitrct 2,1,35,No,,No,
Southern Cape,ECD 163,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,4,55,No,,No,
Southern Cape,ECD 164,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 05/22,2022/03/17,2023/03/31,Conditionally registered,BRONZE,2022/03/17,2023/03/31,,Community Centre,Community Centre,Disitrct 3,2,32,No,,Yes,42
Southern Cape,ECD 165,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,,DC 57/06,,,Lapsed registration,,,,,"Religious institution (e.g. church, mosque","Religious institution (e.g. church, mosque",Disitrct 5,2,40,No,,No,
Southern Cape,ECD 166,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 4,4,15,No,,No,
Southern Cape,ECD 167,Non-centre based,Playgroup,,,,,,,,,,,,,Private business,Private business,Disitrct 1,4,,No,,No,
Southern Cape,ECD 168,Centre based,ECD centre,,,,,,,,,,,,,"Religious institution (e.g. church, mosque","Religious institution (e.g. church, mosque",Disitrct 2,,,No,,No,
Southern Cape,ECD 169,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,4,56,No,,No,
Southern Cape,ECD 170,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Municipality,Municipality,Disitrct 2,2,72,No,,No,
Southern Cape,ECD 171,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 17/19,2019/11/05,2022/11/30,Conditionally registered,SILVER,2019/11/05,2022/11/30,,The ECD Programme,The ECD Programme,Disitrct 3,3,52,No,,No,
Southern Cape,ECD 172,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Community Centre,Community Centre,Disitrct 3,1,30,No,,No,
Southern Cape,ECD 173,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,4,5,No,,No,
Southern Cape,ECD 174,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Community Centre,Community Centre,Disitrct 2,2,42,No,,No,
Southern Cape,ECD 175,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,SILVER,DC43/06,2020/03/03,2022/03/31,Lapsed registration,SILVER,2020/03/03,2022/03/31,,Community Centre,Community Centre,Disitrct 4,1,27,Yes,17,Yes,17
Southern Cape,ECD 176,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,3,100,No,,No,
Southern Cape,ECD 177,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,Dc44/06,2021/06/14,2024/06/30,Conditionally registered,BRONZE,2021/06/14,2024/06/30,,School,The ECD Programme,Disitrct 4,1,15,Yes,15,Yes,15
Southern Cape,ECD 178,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC04/22,2022/03/11,2025/03/31,Conditionally registered,SILVER,2022/03/11,2025/03/31,,Not-for profit organisation,The ECD Programme,Disitrct 2,1,17,No,,Yes,32
Southern Cape,ECD 179,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Municipality,Municipality,Disitrct 2,1,38,No,,No,
Southern Cape,ECD 180,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,BRONZE,DC 04/01,2016/03/22,2021/03/31,Lapsed registration,BRONZE,2016/03/22,2021/03/31,,The ECD Programme,The ECD Programme,Disitrct 2,2,147,No,,No,
Southern Cape,ECD 181,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,3,19,No,,No,
Southern Cape,ECD 182,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,29,No,,No,
Southern Cape,ECD 183,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 3,2,5,No,,No,
Southern Cape,ECD 184,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,Dc17/06,2021/05/07,2024/05/31,Conditionally registered,SILVER,2021/05/07,2024/05/31,,Municipality,Municipality,Disitrct 4,1,52,No,,Yes,52
Southern Cape,ECD 185,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 2,2,50,No,,No,
Southern Cape,ECD 186,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,1,8,No,,No,
Southern Cape,ECD 187,,,,,Not registered,,,,,Not registered,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 188,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,4,4,No,,No,
Southern Cape,ECD 189,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC08/02,2022/03/31,2027/03/31,Fully registered,GOLD,2022/03/31,2027/03/31,,Municipality,The ECD Programme,Disitrct 1,1,82,Yes,82,No,
Southern Cape,ECD 190,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,GOLD,DC20/06,2015/11/20,2020/10/30,Lapsed registration,GOLD,2015/11/20,2020/10/30,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 3,2,10,No,,No,
Southern Cape,ECD 191,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 5,1,28,No,,No,
Southern Cape,ECD 192,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,4,10,No,,No,
Southern Cape,ECD 193,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 5,4,24,No,,No,
Southern Cape,ECD 194,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC08/98,2020/10/29,2025/10/31,Fully registered,GOLD,2020/10/29,2025/10/31,,Municipality,Municipality,Disitrct 1,1,80,No,,Yes,80
Southern Cape,ECD 195,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,Dc40/06,2021/05/07,2026/04/30,Conditionally registered,BRONZE,2021/05/07,2026/04/30,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 4,1,43,No,,Yes,52
Southern Cape,ECD 196,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 9/98,2020/11/09,2023/11/30,Conditionally registered,SILVER,2020/11/09,2023/11/30,,Municipality,Municipality,Disitrct 5,1,52,Yes,52,Yes,52
Southern Cape,ECD 197,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC31/06,2021/05/07,2024/05/30,Conditionally registered,SILVER,2021/05/07,2024/05/30,,Municipality,Municipality,Disitrct 4,1,57,No,,Yes,60
Southern Cape,ECD 198,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,3,14,No,,No,
Southern Cape,ECD 199,,,,,,,,,,,,,,,,,,,,No,,No,
Southern Cape,ECD 200,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Other government institution (not municipality),Other government institution (not municipality),Disitrct 2,1,93,No,,No,
Southern Cape,ECD 201,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 5,4,40,No,,No,
Southern Cape,ECD 202,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 3,3,5,No,,No,
Southern Cape,ECD 203,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,Not-for profit organisation,Disitrct 2,1,21,No,,No,
Southern Cape,ECD 204,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 205,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Communal land (traditional),Religious institution (e.g. church  mosque),Disitrct 3,2,32,No,,No,
Southern Cape,ECD 206,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,2,14,No,,No,
Southern Cape,ECD 207,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Other government institution (not municipality),Other government institution (not municipality),Disitrct 2,2,80,No,,No,
Southern Cape,ECD 208,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,19,No,,No,
Southern Cape,ECD 209,Centre based,ECD centre,,,In process,,,,,In process,,,,,The ECD Programme,The ECD Programme,Disitrct 2,2,74,No,,No,
Southern Cape,ECD 210,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,39,No,,No,
Southern Cape,ECD 211,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,1,14,No,,No,
Southern Cape,ECD 212,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 11/21,2023/08/30,2026/07/30,Conditionally registered,SILVER,2023/08/30,2026/07/30,DC 11/12/14/23,The ECD Programme,The ECD Programme,Disitrct 1,1,40,No,,Yes,40
Southern Cape,ECD 213,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,5,15,No,,No,
Southern Cape,ECD 214,Centre based,ECD centre,,Non-Centre Based ECD Programme,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,1,13,No,,No,
Southern Cape,ECD 215,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,BRONZE,DC 19/00,2017/11/17,2021/11/30,Lapsed registration,BRONZE,2017/11/17,2021/11/30,,Municipality,Municipality,Disitrct 4,1,60,No,,No,
Southern Cape,ECD 216,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Municipality,The ECD Programme,Disitrct 2,1,93,No,,No,
Southern Cape,ECD 217,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 03/04,2017/06/26,2022/06/30,Conditionally registered,BRONZE,2016/06/26,2022/06/30,,The ECD Programme,The ECD Programme,Disitrct 3,1,21,Yes,20,No,
Southern Cape,ECD 218,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,GOLD,DC 46/07,2019/01/03,2021/01/31,Fully registered,GOLD,2019/01/03,2021/01/31,,The ECD Programme,The ECD Programme,Disitrct 3,2,38,No,,No,
Southern Cape,ECD 219,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,2,16,No,,No,
Southern Cape,ECD 220,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,GOLD,DC07/15,2015/07/31,2020/07/31,Lapsed registration,GOLD,2015/07/31,2020/07/31,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 221,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 5,3,38,No,,No,
Southern Cape,ECD 222,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC24/06,2021/06/14,2026/06/30,Conditionally registered,SILVER,2021/06/14,2026/06/30,,Community Centre,Community Centre,Disitrct 4,1,20,No,,Yes,32
Southern Cape,ECD 223,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,GOLD,Dc04/04,2020/10/29,2022/10/31,Lapsed registration,GOLD,2020/10/29,2022/10/31,,Community Centre,Community Centre,Disitrct 4,1,40,No,,Yes,32
Southern Cape,ECD 224,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,3,13,No,,No,
Southern Cape,ECD 225,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC 17/97,2020/11/09,2025/11/30,Fully registered,GOLD,2020/11/09,2025/11/30,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 5,1,250,Yes,186,Yes,186
Southern Cape,ECD 226,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC67/06,2019/11/21,2024/11/30,Fully registered,GOLD,2019/11/21,2024/11/30,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 1,1,96,Yes,80,No,
Southern Cape,ECD 227,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,3,35,No,,No,
Southern Cape,ECD 228,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,Dc23/98,2021/04/14,2026/06/30,Fully registered,GOLD,2021/04/14,2026/06/30,,Municipality,Municipality,Disitrct 4,1,15,Yes,11,Yes,11
Southern Cape,ECD 229,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,SILVER,Dc14/08,2017/09/27,2022/09/30,Lapsed registration,SILVER,2017/09/27,2022/09/30,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 4,1,45,No,,Yes,39
Southern Cape,ECD 230,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,,DC 04/15,2015/03/23,2020/03/17,Lapsed registration,GOLD,2015/03/23,2020/03/17,,Not-for profit organisation,Not-for profit organisation,Disitrct 4,3,64,No,,No,
Southern Cape,ECD 231,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,2,43,No,,No,
Southern Cape,ECD 232,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,1,10,No,,No,
Southern Cape,ECD 233,Centre based,ECD centre,New,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 1,2,37,No,,No,
Southern Cape,ECD 234,Centre based,ECD centre,New,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,2,135,No,,No,
Southern Cape,ECD 235,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 2,3,15,No,,No,
Southern Cape,ECD 236,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,SILVER,DC07/17,2017/09/27,2022/09/30,Lapsed registration,SILVER,2017/09/27,2022/09/30,,Municipality,Municipality,Disitrct 4,3,15,No,,No,
Southern Cape,ECD 237,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,3,1,No,,No,
Southern Cape,ECD 238,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,3,20,No,,No,
Southern Cape,ECD 239,Centre based,ECD centre,New,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 1,3,35,No,,No,
Southern Cape,ECD 240,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,3,10,No,,No,
Southern Cape,ECD 241,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 4,4,25,No,,No,
Southern Cape,ECD 242,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 2,2,98,No,,No,
Southern Cape,ECD 243,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 5,1,17,No,,No,
Southern Cape,ECD 244,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 5,3,15,No,,No,
Southern Cape,ECD 245,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 3,2,15,No,,No,
Southern Cape,ECD 246,Centre based,ECD centre,,,Conditionally registered,,,,,Lapsed registration,,,,,Another private individual,Another private individual,Disitrct 2,2,12,No,,No,
Southern Cape,ECD 247,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 23/08,2020/11/18,2023/11/30,Conditionally registered,SILVER,2020/11/18,2023/11/30,,"Religious institution (e.g. church, mosque","Religious institution (e.g. church, mosque",Disitrct 5,3,52,Yes,52,Yes,52
Southern Cape,ECD 248,Centre based,ECD centre,,,Not registered,,DC 20/01,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 2,2,80,No,,No,
Southern Cape,ECD 249,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC08/05,2018/05/31,2024/11/30,Conditionally registered,BRONZE,2018/05/31,2024/11/30,,Municipality,Municipality,Disitrct 4,1,45,No,,Yes,67
Southern Cape,ECD 250,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC06/18,2018/11/21,2023/11/30,Fully registered,GOLD,2018/11/21,2023/11/30,,Other,Other,Disitrct 1,4,39,No,,No,
Southern Cape,ECD 251,Centre based,ECD centre,,,Fully registered,,,,,In process,,,,,Municipality,Municipality,Disitrct 2,1,67,No,,No,
Southern Cape,ECD 252,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 3,2,25,No,,No,
Southern Cape,ECD 253,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 254,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 5,1,63,No,,No,
Southern Cape,ECD 255,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,In process,,DC03/07,,,In process,,,,,,,Disitrct 2,1,,No,,No,
Southern Cape,ECD 256,Centre based,ECD centre,,,In process,,,,,Fully registered,,,,,Municipality,Municipality,Disitrct 2,2,90,No,,No,
Southern Cape,ECD 257,Centre based,ECD centre,New,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,School,School,Disitrct 1,4,85,No,,No,
